algorithm,run,success,time,path_length,waypoints,nodes
RRT,1,True,0.145,15.095,52,183
RRT,2,True,0.132,15.822,54,162
RRT,3,True,0.162,14.265,50,200
RRT,4,True,0.142,15.193,52,174
RRT,5,True,0.163,15.009,52,207
RRT,6,True,0.139,14.318,49,180
RRT,7,True,0.131,15.634,54,167
RRT,8,True,0.151,15.092,52,190
RRT,9,True,0.259,15.582,53,295
RRT,10,True,0.135,15.535,53,175
RRT,11,True,0.08,14.627,50,110
RRT,12,True,0.11,15.285,52,140
RRT,13,True,0.157,15.92,55,207
RRT,14,True,0.134,14.576,50,176
RRT,15,True,0.116,15.132,52,155
RRT,16,True,0.235,15.602,54,284
RRT,17,True,0.229,16.855,58,260
RRT,18,True,0.18,16.809,58,223
RRT,19,True,0.185,15.741,54,229
RRT,20,True,0.213,16.705,57,245
RRT,21,True,0.13,15.193,52,178
RRT,22,True,0.223,16.695,58,257
RRT,23,True,0.128,15.343,53,164
RRT,24,True,0.165,16.213,56,213
RRT,25,True,0.168,15.816,54,208
RRT,26,True,0.177,17.072,58,214
RRT,27,True,0.143,15.394,53,178
RRT,28,True,0.134,15.874,54,168
RRT,29,True,0.191,18.718,64,229
RRT,30,True,0.24,17.032,58,278
RRT,31,True,0.214,16.195,56,252
RRT,32,True,0.121,15.261,52,157
RRT,33,True,0.124,16.319,56,162
RRT,34,True,0.131,15.428,53,167
RRT,35,True,0.162,15.661,54,202
RRT,36,True,0.189,15.73,54,231
RRT,37,True,0.154,15.513,54,186
RRT,38,True,0.13,15.234,53,168
RRT,39,True,0.13,14.926,51,162
RRT,40,True,0.136,16.567,57,176
RRT,41,True,0.287,16.181,55,321
RRT,42,True,0.137,16.331,56,176
RRT,43,True,0.113,14.925,51,144
RRT,44,True,0.124,15.318,53,156
RRT,45,True,0.134,15.487,53,167
RRT,46,True,0.15,16.098,55,194
RRT,47,True,0.155,15.997,56,201
RRT,48,True,0.299,16.719,57,329
RRT,49,True,0.165,15.535,54,178
RRT,50,True,0.177,15.404,53,219
Bi-RRT,1,True,0.158,15.185,54,108
Bi-RRT,2,True,0.182,14.453,51,103
Bi-RRT,3,True,0.114,16.717,58,85
Bi-RRT,4,True,0.255,16.081,56,115
